Dataset: Breast_cancer. Featuremap: ising

Bond: 0.1

L = 2
Memoria: 13.062484741210938 MB
Mean D: 4.0
Var  D: 0.0
Mean Renyi2: 0.5239463996358291
Var  Renyi2: 0.017530844548613752
Mean accuracy: 0.9701577529819159
Variance of accuracy: 0.00018483100637112256

L = 3
Memoria: 23.897933959960938 MB
Mean D: 8.0
Var  D: 0.0
Mean Renyi2: 0.8981818972724754
Var  Renyi2: 0.023409384453939648
Mean accuracy: 0.9645248172373989
Variance of accuracy: 0.00038791964411682853

L = 4
Memoria: 63.90574645996094 MB
Mean D: 16.0
Var  D: 0.0
Mean Renyi2: 0.898181897272491
Var  Renyi2: 0.023409384453939645
Mean accuracy: 0.9739530588687956
Variance of accuracy: 0.00020966081260819782

L = 5
Memoria: 210.60105895996094 MB
Mean D: 32.0
Var  D: 0.0
Mean Renyi2: 1.299239764550469
Var  Renyi2: 0.05916013728101601
Mean accuracy: 0.9700838784147746
Variance of accuracy: 0.00024031809868763445

Bond: 0.2

L = 2
Memoria: 13.062484741210938 MB
Mean D: 4.0
Var  D: 0.0
Mean Renyi2: 0.5439539623428846
Var  Renyi2: 0.0501995815214721
Mean accuracy: 0.9729526741054251
Variance of accuracy: 0.0002084562372747921

L = 3
Memoria: 23.897933959960938 MB
Mean D: 8.0
Var  D: 0.0
Mean Renyi2: 0.8986861535174133
Var  Renyi2: 0.07473694348734358
Mean accuracy: 0.960295498268565
Variance of accuracy: 0.0002454103779913965

L = 4
Memoria: 63.90574645996094 MB
Mean D: 16.0
Var  D: 0.0
Mean Renyi2: 0.8986861535174285
Var  Renyi2: 0.07473694348734378
Mean accuracy: 0.964921893035783
Variance of accuracy: 0.0004564850393075975

L = 5
Memoria: 210.60105895996094 MB
Mean D: 32.0
Var  D: 0.0
Mean Renyi2: 1.2737726269410878
Var  Renyi2: 0.16841861304630062
Mean accuracy: 0.9556814159292037
Variance of accuracy: 0.0004272397859438543

Bond: 0.3

L = 2
Memoria: 13.062484741210938 MB
Mean D: 4.0
Var  D: 0.0
Mean Renyi2: 0.5714745614471765
Var  Renyi2: 0.08323889084598937
Mean accuracy: 0.9645432858791843
Variance of accuracy: 0.00016052892355131282

L = 3
Memoria: 23.897933959960938 MB
Mean D: 8.0
Var  D: 0.0
Mean Renyi2: 0.9203470215505776
Var  Renyi2: 0.14196174397778247
Mean accuracy: 0.9528741823778377
Variance of accuracy: 0.00031691730568129744

L = 4
Memoria: 63.90574645996094 MB
Mean D: 16.0
Var  D: 0.0
Mean Renyi2: 0.9203470215505931
Var  Renyi2: 0.14196174397778258
Mean accuracy: 0.9511104270873411
Variance of accuracy: 0.00029511736417796254

L = 5
Memoria: 210.60105895996094 MB
Mean D: 32.0
Var  D: 0.0
Mean Renyi2: 1.260056625430286
Var  Renyi2: 0.28235159284375777
Mean accuracy: 0.9275413620623317
Variance of accuracy: 0.0004929195298770956

Bond: 0.4

L = 2
Memoria: 13.062484741210938 MB
Mean D: 4.0
Var  D: 0.0
Mean Renyi2: 0.5949642078713345
Var  Renyi2: 0.10873544228351009
Mean accuracy: 0.9591966140823394
Variance of accuracy: 0.0001886990107727326

L = 3
Memoria: 23.897933959960938 MB
Mean D: 8.0
Var  D: 0.0
Mean Renyi2: 0.9438920817703277
Var  Renyi2: 0.21701777527326327
Mean accuracy: 0.9385332820315504
Variance of accuracy: 0.00028992873858657483

L = 4
Memoria: 63.90574645996094 MB
Mean D: 16.0
Var  D: 0.0
Mean Renyi2: 0.9438920817703432
Var  Renyi2: 0.2170177752732629
Mean accuracy: 0.9279384378607157
Variance of accuracy: 0.0005385197284124287

L = 5
Memoria: 210.60105895996094 MB
Mean D: 32.0
Var  D: 0.0
Mean Renyi2: 1.2589066041956736
Var  Renyi2: 0.40219203806492454
Mean accuracy: 0.9012450942670259
Variance of accuracy: 0.0005847503723647817

Bond: 0.5

L = 2
Memoria: 13.062484741210938 MB
Mean D: 4.0
Var  D: 0.0
Mean Renyi2: 0.6096290020270969
Var  Renyi2: 0.12240447862923438
Mean accuracy: 0.9532589457483647
Variance of accuracy: 0.0002417929607894194

L = 3
Memoria: 23.897933959960938 MB
Mean D: 8.0
Var  D: 0.0
Mean Renyi2: 0.9685632659600715
Var  Renyi2: 0.26369190696331424
Mean accuracy: 0.9272674105425164
Variance of accuracy: 0.0005014481206280789

L = 4
Memoria: 63.90574645996094 MB
Mean D: 16.0
Var  D: 0.0
Mean Renyi2: 0.968563265960086
Var  Renyi2: 0.26369190696331396
Mean accuracy: 0.9156598691804541
Variance of accuracy: 0.0005548320372428439

L = 5
Memoria: 210.60105895996094 MB
Mean D: 32.0
Var  D: 0.0
Mean Renyi2: 1.2525869975144064
Var  Renyi2: 0.48209416980821634
Mean accuracy: 0.9212250865717583
Variance of accuracy: 0.0004989871747023584
